description,category,amount,merchant,is_synthetic,is_augmented
Contract Work Invoice #7066,freelance,196.28,,True,
$106 Payment for services,entertainment,134.15,Hulu,,True
Food Lion grocery purchase,groceries,47.79,Safeway,,True
Fast food $162,dining,50.02,Taco Bell,,True
$145 Shell ride,transportation,54.55,BP,,True
Dinner at Dunkin' purchase,dining,27.97,Burger King,,True
Dec Direct Deposit Salary,salary,5719.29,,,True
Contract Work Invoice #4599 $145,freelance,303.35,,,True
payment to Subway,dining,25.97,Chick-fil-A,,True
Public transportation via PayPal,transportation,34.21,Lyft,,True
MONTHLY SALARY DEPOSIT,salary,7408.81,,,True
payment for services,healthcare,208.36,Medical Supplies,,True
$183 Contract Work Invoice #8932,freelance,351.89,,,True
Coffee at Wendy's Oct,dining,13.44,Taco Bell,,True
Contract Work Invoice #6963 via Mastercard,freelance,241.86,,,True
Dinner at Wendy's,dining,5.0,Chipotle,True,
Uber Ride,transportation,14.83,Train Ticket,,True
Produce Purchase,groceries,61.88,Aldi,,True
May Purchase,subscriptions,30.48,,,True
Contract Work Invoice #6713,freelance,749.9,,True,
$179 Best Buy order,shopping,15.0,Macy's,,True
gas at bus ticket,transportation,38.63,Shell,,True
dunkin',dining,20.27,Domino's,,True
$145 Parking fee,transportation,31.55,Exxon,,True
Bank Transfer,utilities,30.0,Water Bill,True,
Lowe's order $136,shopping,64.85,Kohl's,,True
publix grocery,groceries,113.23,Publix,,True
Contract Work Invoice #4338,freelance,1727.35,,,True
Restaurant meal via Mastercard,dining,31.69,Panera Bread,,True
Aug Bank Transfer,utilities,210.72,Water Bill,,True
Subscriptions Transaction $32,subscriptions,18.46,,,True
Fast food via Visa,dining,10.64,Starbucks,,True
Oct Public transportation,transportation,48.59,Bus Ticket,,True
Dinner at Wendy's via Mastercard,dining,33.36,Chick-fil-A,,True
lunch at taco bell,dining,52.23,Panera Bread,,True
BANK TRANSFER,subscriptions,24.24,,,True
Online purchase Amazon,shopping,45.86,Walmart,True,
dinner at mcdonald's,dining,21.2,Wendy's,,True
Contract Work Invoice #1516,freelance,4280.11,,True,
Chick-fil-A Dec,dining,20.68,Domino's,,True
paycheck from tech corp,salary,5285.52,,,True
Old Navy shopping $82,shopping,139.05,Nordstrom,,True
Applebees,dining,20.05,Taco Bell,True,
Bank Transfer via Apple Pay,housing,514.45,Home Insurance,,True
Produce purchase $67,groceries,60.21,Target,,True
Feb Bank Transfer,subscriptions,10.07,,,True
payment to Online purchase eBay,shopping,15.0,Macy's,,True
$93 Subscriptions Transaction,subscriptions,22.81,,,True
payment to Lowe's shopping,shopping,15.0,Lowe's,,True
Train Ticket Ride,transportation,33.19,Shell,,True
Gap shopping,shopping,59.32,Lowe's,True,
Online purchase Macy's purchase,shopping,108.05,Home Depot,,True
Walmart grocery,groceries,77.83,Safeway,True,
Lunch at Dunkin',dining,5.0,Wendy's,True,
Fast food,dining,19.95,Chipotle,True,
$79 Walmart grocery,groceries,89.68,Whole Foods,,True
Lunch at Applebees via PayPal,dining,5.0,Subway,,True
Jan Kohl's shopping,shopping,31.34,Target,,True
Clothing purchase $138,shopping,15.0,Macy's,,True
$30 Bank Transfer,utilities,118.48,Cable TV,,True
monthly salary deposit,salary,7408.81,,,True
Contract Work Invoice #5638,freelance,3019.78,,True,
Contract Work Invoice #6696 $8,freelance,100.0,,,True
Target grocery $121,groceries,111.34,Publix,,True
Monthly Salary Deposit via Mastercard,salary,6014.17,,,True
Electronics eBay,shopping,314.0,Kohl's,True,
Bank Transfer Jul,housing,1731.99,Apartment,,True
Macy's order,shopping,76.68,Nordstrom,True,
$8 Contract Work Invoice #6696,freelance,100.0,,,True
Jan Healthcare Transaction,healthcare,176.18,Health Insurance,,True
Groceries at Trader Joe's purchase,groceries,75.29,Walmart,,True
Bus Ticket ride purchase,transportation,39.82,Exxon,,True
Lunch at Chick-fil-A via Mastercard,dining,35.43,Wendy's,,True
at Groceries at Trader Joe's,groceries,182.94,Costco,,True
Dunkin',dining,67.78,Domino's,True,
Bank Transfer $102,housing,514.45,Home Insurance,,True
Groceries At Meijer,groceries,137.65,Publix,,True
APPLEBEES,dining,31.4,Wendy's,,True
Purchase via Apple Pay,utilities,52.98,Sewer Bill,,True
Produce purchase $160,groceries,63.0,Costco,,True
Gas at Gas Station purchase,transportation,11.4,Gas Station,,True
$130 Supermarket purchase,groceries,33.05,Kroger,,True
Lunch At Chipotle,dining,44.29,McDonald's,,True
PAYMENT FOR SERVICES,subscriptions,14.52,,,True
Gas at BP,transportation,10.0,Parking,True,
Gas At Shell,transportation,44.1,Shell,,True
Meijer Grocery,groceries,131.05,Walmart,,True
$55 Weekly groceries,groceries,106.77,Target,,True
Chick-fil-A via PayPal,dining,15.97,Burger King,,True
Contract Work Invoice #6046,freelance,100.0,,True,
payment to Panera Bread,dining,5.0,Dunkin',,True
$15 Chick-fil-A,dining,15.97,Burger King,,True
Bank Transfer $86,entertainment,68.86,Arcade,,True
Dec Groceries at Trader Joe's,groceries,75.29,Walmart,,True
Apr Public transportation,transportation,19.59,Metro Transit,,True
Contract Work Invoice #3625,freelance,1550.6,,True,
Healthcare Transaction Jan,healthcare,176.18,Health Insurance,,True
